"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.50593614784151e-21,1.99940983668668,0.732,0.155,2.85962215113625e-17,"10","DNAJB11"
1.78259613132879e-21,2.24439208410821,0.659,0.133,3.38497179378025e-17,"10","N4BP2"
2.00003934992745e-21,2.11638845197008,0.659,0.131,3.79787472157724e-17,"10","ARHGAP17"
2.1488668196118e-21,2.69105786372592,0.415,0.057,4.08048320376084e-17,"10","EIF4ENIF1"
2.8932886971593e-21,2.54551012678862,0.341,0.04,5.4940659070358e-17,"10","MS4A4A"
3.66819128281898e-21,2.29088125783715,0.439,0.063,6.96552842694496e-17,"10","ADAM19"
3.88672326783384e-21,2.41180683331307,0.488,0.078,7.38049881328968e-17,"10","AGPAT5"
3.9704750126344e-21,2.64746217018679,0.463,0.074,7.53953500149147e-17,"10","CCR2"
4.03785515285727e-21,2.11505350985417,0.537,0.091,7.66748314976066e-17,"10","ULK1"
4.47508836421018e-21,2.04475795302923,0.854,0.214,8.4977452947987e-17,"10","EIF4A3"
6.4221824186455e-21,1.98930234693758,0.854,0.24,1.2195082194766e-16,"10","CHD9"
1.1512548951131e-20,2.07160776727439,0.878,0.265,2.18611792033026e-16,"10","N4BP2L1"
1.51773304000691e-20,2.91879840708301,0.268,0.026,2.88202326966913e-16,"10","SLC29A1"
1.59423181955569e-20,2.33098738528337,0.537,0.095,3.02728680215429e-16,"10","TBC1D9"
1.7560374282416e-20,2.32263962499159,0.561,0.104,3.33453947248797e-16,"10","UBE2E2"
1.84391792245178e-20,2.60767302799271,0.341,0.041,3.50141574294368e-16,"10","EEF2K"
1.95629039687114e-20,1.77958509273695,1,0.51,3.71479983461862e-16,"10","IRF2BP2"
2.27429918923791e-20,1.28896375695159,1,0.94,4.31866673044387e-16,"10","CYBA"
2.78672935084692e-20,1.53050764047071,1,0.815,5.29172036432321e-16,"10","SSR4"
3.08683928319454e-20,1.81807621464768,1,0.577,5.86159911485811e-16,"10","CD164"
3.39313627848537e-20,1.58046850078278,0.951,0.277,6.44322647921588e-16,"10","HLA-DMB"
3.49240687305274e-20,2.42327712214981,0.537,0.099,6.63173141123985e-16,"10","ALG2"
3.66164627748667e-20,2.27308049394361,0.293,0.031,6.95310011631944e-16,"10","CASZ1"
3.88577493970701e-20,2.05900808461336,0.585,0.111,7.37869803300965e-16,"10","GPATCH11"
4.07020931097581e-20,2.05584174263242,0.537,0.094,7.72892046061196e-16,"10","ABI2"
5.25019707532384e-20,1.61640909684689,1,0.673,9.96959922633244e-16,"10","RNASET2"
5.85838706887088e-20,1.82742415744268,0.951,0.35,1.11244912050789e-15,"10","CD4"
7.49157270300405e-20,2.14378897736046,0.707,0.166,1.42257474057344e-15,"10","RNF11"
7.58360744638392e-20,2.2825384710432,0.61,0.126,1.44005121799384e-15,"10","NAGA"
7.9095291530073e-20,2.15187642567987,0.805,0.237,1.50194049086456e-15,"10","CUX1"
9.15670455095127e-20,1.62347396827081,0.756,0.176,1.73876662718014e-15,"10","MARCH2"
9.67420961566632e-20,1.46915526222144,1,0.313,1.83703566391888e-15,"10","JAML"
1.05930928004867e-19,1.78678865591019,0.61,0.114,2.01152239188441e-15,"10","TCF3"
1.81026598461493e-19,1.75937082915264,0.902,0.267,3.4375140781853e-15,"10","NIN"
2.15173491045122e-19,2.28955558766821,0.415,0.061,4.08592942145582e-15,"10","CHAMP1"
2.16752537790176e-19,2.14205816328586,0.659,0.151,4.11591394009766e-15,"10","MFSD12"
2.28474929777728e-19,2.59808181583948,0.341,0.044,4.33851044154928e-15,"10","FUT7"
2.54750359850572e-19,1.78778344935122,1,0.52,4.83745458320251e-15,"10","CTSC"
2.74487566811891e-19,1.79862217964971,0.805,0.202,5.21224440619099e-15,"10","SND1"
3.17667587758306e-19,2.33157468810493,0.268,0.028,6.03218982394248e-15,"10","MIR155HG"
3.22528446041707e-19,2.50551866517308,0.488,0.086,6.12449266188597e-15,"10","PBX3"
3.3382242842224e-19,1.84542113980027,0.927,0.3,6.33895409330992e-15,"10","COMT"
3.81282235961657e-19,1.88923860693782,0.927,0.343,7.2401683786759e-15,"10","CAT"
3.95972145831476e-19,2.61699151041816,0.317,0.039,7.51911507719389e-15,"10","HYI"
4.24458189623886e-19,1.58060726170785,1,0.751,8.06003656276798e-15,"10","UCP2"
